Group,Marker Icon,Name,Description,Latitude,Longitude,Quantity,Date Collected,YouTube Video,Stamp Reference,Event,Marker Color,Icon Color,Custom Size,
Tourist Stamps,media/nmStamp.png,Maihama Station,Outside the south ticket gate.,35.636259,139.8836057,1,2025-11-23,,,,,,,
Limited Stamps,media/owl.png,Tokyo Disneyland,,35.6324148,139.88102645548900,1,2025-11-23,[[https://youtu.be/abR_mTspZM4|Link]],,2025 Christmas Stamp Rally,,,,
Tourist Stamps,media/nmStamp.png,Kinokuniya Bookstore,Located by the registers.,35.6859747,139.7024988,1,2025-11-29,,,,,,,
Tourist Stamps,media/nmStamp.png,Seibu-Shinjuku Station,,35.6960899,139.7000075,1,2025-11-29,,,,,,,
Tourist Stamps,media/nmStamp.png,Shinjuku New South Gate Building,[1] stamp on the third floor at the information center and another [1] on the forth floor at the bus terminal info counter.,35.688795,139.700571,2,2025-11-29,,,,,,,
Tourist Stamps,media/nmStamp.png,Yoyogi Station,,35.6839514,139.7020806,2,2025-11-29,,,,,,,
Tourist Stamps,media/nmStamp.png,Animate VIVRE (Yokohama),Have to ask an employee for the stamp.,35.465068100000000,139.61832242982800,1,2025-12-03,,https://stamp.funakiya.com/animate-yokohama.html,,,,,
Tourist Stamps,media/nmStamp.png,Sakuragicho Station,,35.4510054,139.6310016,1,2025-12-07,,,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama Air Cabin (Sakuragicho),1 of 2 stamps. Each located on either end of the ropeway.,35.451358,139.63144,1,2026-12-07,,https://stamp.funakiya.com/yokohama-aircabin-sakuragicho.html,,,,,
Tourist Stamps,media/nmStamp.png,JR Kannai Station,,35.4440822,139.6360365,1,2025-12-10,,https://stamp.funakiya.com/jr-kannai.html,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama Air Cabin,,35.453318500000000,139.63848816019500,1,2025-12-31,,https://stamp.funakiya.com/yokohama-aircabin-sakuragicho.html,,,,,
Tourist Stamps,media/nmStamp.png,Shimo-Kitazawa Station,,35.66126585,139.6669206989160,1,2026-01-11,,,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama Port Museum,(2) stamps available near the information desk.,35.452709,139.632629,2,2026-02-05,,,,,,,
PokéLid,https://local.pokemon.jp/img/p/manhole/dd60987af1dda49a37486a2cbcb4d407_l.png, Pikachu,,35.45114,139.63137,1,2026-02-05,,https://local.pokemon.jp/en/manhole/kanagawa.html,,,,,
Tourist Stamps,media/nmStamp.png,JR EAST Travel Service Center,,35.682432,139.766265,1,2026-02-11,,,,,,,
Tourist Stamps,media/nmStamp.png,Nihombashi Station (Toei Subway),,35.6816488,139.7761952,1,2026-02-11,,,,,,,
Tourist Stamps,media/nmStamp.png,TIC TOKYO (Tourist Information Center),,35.6831334,139.7695941,1,2026-02-11,,,,,,,
Tourist Stamps,media/nmStamp.png,Tokyo Character Street,One Piece Mugiwara Store; Mofusand; Jump Store; Lego; Koupen Chan Hanamaru (2),35.6823859,139.7687416,6,2026-02-11,,,,,,,
Limited Stamps,media/owl.png,Tokyo Station,,35.6812546,139.766706,1,2026-02-11,,,E5 Shinkansen,,,,
Tourist Stamps,media/nmStamp.png,Nagano Gondo Station,,36.6532364,138.1919729,1,2026-02-21,,,,,,,
Tourist Stamps,media/nmStamp.png,Nagano Station,(1) at the JR East center and (1) at the tourist information.,36.643161,138.188508,2,2026-02-21,,,,,,,
Expressway Stamps,media/expressway.png,Joshinetsu Expressway Service Area,,36.341795,138.740158,1,2026-02-21,,,,,,,
Tourist Stamps,media/nmStamp.png,Bunbu School,,36.5630257,138.1960399,1,2026-02-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Higuchi Family Residence,,36.5627537,138.1972523,1,2026-02-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Nagano Dentetsu Station,,36.643919,138.188626,1,2026-02-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Sanada Residence,Part of the 100 Castles of Japan.,36.5632025,138.1966742,1,2026-02-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Sumikkogurashido Zenkoji,,36.660346,138.187569,1,2026-02-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Zenkojishita Station,,36.6583468,138.1934869,1,2026-02-22,,,,,,,
Expressway Stamps,media/expressway.png,Joshinetsu Expressway Service Area,,36.339025,138.739278,1,2026-02-23,,,,,,,
Limited Stamps,media/owl.png,Kannai Station,,35.44533,139.6367037,1,2026-03-06,,https://oshi-tabi.voistock.com/bungo-yokohama,Bungo Stray Dogs Stamp Rally,,,,
Tourist Stamps,media/nmStamp.png,Akabanebashi Station,If you ask the staff member they might let you in to stamp since it's *inside* the ticket gate.,35.6550406,139.7439828,1,2026-03-15,,,,,,,
Tourist Stamps,media/nmStamp.png,Hamamtsucho Station,,35.655144,139.757064,1,2026-03-15,,,,,,,
Tourist Stamps,media/nmStamp.png,Shiba Park Info Center,,35.65333,139.749447,1,2026-03-15,,,,,,,
Tourist Stamps,media/nmStamp.png,Shibakoen Station,*Inside* the gates right between them.,35.655352,139.749833,1,2026-03-15,,,,,,,
Tourist Stamps,media/nmStamp.png,JR Shin-Yokohama Shinkansen Ticket Office,,35.507269,139.617423,1,2026-03-15,,,,,,,
Tourist Stamps,media/nmStamp.png,Tokyo Tower,,35.6584491,139.745536,1,2026-03-15,,,,,,,
Limited Stamps,media/owl.png,Shin-Yokohama,,35.5088608,139.6172643,1,2026-03-15,,,My Hero Academia - Plus Ultra Train,,,,
Limited Stamps,media/owl.png,Tokyo Tower,,35.658604,139.745257,4,2026-03-15,,,Five Towers x End Field,,,,
Tourist Stamps,media/nmStamp.png,JR Kichijōji Station,Located inside the ticket office exit for the JR lines.,35.7031413,139.5803077,1,2026-03-16,,,,,,,
Tourist Stamps,media/nmStamp.png,Kichijoji Machi Information Center,Exit the station via the North exit and head across the street to the shopping street.,35.7037189,139.5801601,1,2026-03-16,,,,,,,
Tourist Stamps,media/nmStamp.png,Ebina Station (Odakyu Line & JR),Ask the ticket attendant at each gate for the stamp.,35.4525988,139.3908631,2,2026-03-17,,,,,,,
Tourist Stamps,media/nmStamp.png,Animate (Ebisu),Ask the staff for the stamp.,35.4527279,139.3934008,1,2026-03-17,,,,,,,
